iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
30,0.02,596.38,2825.22,6539.63,QmbAzP6Dt63ZbBGASrPVJkW2EvnPJUAMdmn63v9TFXe8C7,DZvvTo8pqaaUpqoSvQjtjVDAkRLyzjja9fPdGP9vsQE3
31,0.04,675.13,1034.82,6811.44,QmfRDqYJTxbxmzmNqm6L9z3G9RJSPyRy6RAXqx7TY8mU3d,9ECUYeHDjLVv53exCsK3FGzq4nAh3uECGzYHEMZqDmCL
32,0.02,690.01,820.64,5189.35,QmXAskgv9Zg6ihhXme7dr7nypqEmRk6hPnNUDEtEHW7g3k,nE5xbFMrUytxqVE4xu2vwRGTr7mMiJK4LYYiCdVitTd
33,0.02,604.02,865.58,7362.44,QmSDBX2rzu5BpLtUv1UVk4RhRaUxYogAfzDSoU6jPGzPh1,DzdtsWUk5c3o9vrYr7R4d4FBhkTDn3H9ALXk6sx9cFkv
34,0.03,677.35,3018.69,15575.80,QmTNAiwRy2hFvy8Z2dtMgHGx968WzFH6HHntEm5hQYYtih,6kKMxnLSBhmNCbPSZFjSzD53j42CMbdmeqRhWz7FaA4a
35,0.02,604.70,806.35,4500.66,QmRFVo4cRXjTVgAMWye7sVmjRRGYSZNxzjB9EonLmUaYJu,HwaMYXq2xiuEDEJQKFgKWydphiWAertieTsJAubg81qp
36,0.03,709.16,846.60,4012.00,QmRu2RiT6a58qGxej4gZTyNCWt8n9aoKdhHToQ8j58oMtS,2p9giPdspnSKC5fNgDwdZe9ZE8F3oFqxfEQSn1QpjY2a
37,0.03,469.03,2968.54,3473.23,QmVa22HSXTCjdwXevuV8e2wJSjk9g7zX2zYv1NKg4wrS8s,323zNPLz8S13S9SXfJMZCU6bGSuKExzxsivWJWBxUsWL
38,0.02,2217.05,3063.29,7259.11,QmdzU6zjL7HSRRYZCK59ufq8s3WrYv2wdus1uRHbQgnzF9,GTFCL4uUGWDHddGzmmbaVWpKqMnCLvRtt2SAuMmpEXMg
39,0.03,601.74,908.54,7167.61,QmawT1wDPcSv6bWTmpVAEsz7sXMjTbuoF7gzsDssGvuAhw,GZUPApvpcVUWJxx3a15GEBYGeiiE9qMaDXFn1eMS7gig
