iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
30,0.02,641.90,2259.28,4793.95,QmQVMKXputqUSAPH92LCFo1RcQxcrfKaUZAgNxTxm4wbPc,2pRYYExjfkQtevh833tfjwUozcjHjUTkADcZKCZj7YSX
31,0.03,714.24,974.40,4354.27,QmaLeXRbCWWheuxUqA37zD1Xhongh95gvrsqniQ4UwrV7G,D5SDAAWSQani2iXLwGecwQvwjeHD7x648kLUzydsSUKV
32,0.04,709.01,3108.02,7137.54,QmUnequBafTsu3yojjPAChdD9ZVsaXwPCBQzarRjRvLicr,GRFZcPoQkR1vLCBsuaGueQZs2asaz9ERGNYyjcansEXC
33,0.02,925.76,1136.74,5920.95,QmWCsp3aDNtAsXf9YdxPFKy8ddhYknsadudFcv9ywF1YWn,Cxya8tkbTtYoNpF1g6owAhgLG5qkbadtBxTTeJozjqT1
34,0.02,1944.84,1083.23,3933.08,QmUWWZD2FsxocD4kW88cStXpsac1fHbgdKqorgbZr11KbU,2b5cjEp1UxA9reDQ3ASvQ8fGyWK87DY95kzAA95CnnCu
35,0.03,1009.36,2269.99,7385.92,Qmemp3UKw8d4JuKF2J9WTusUcvZCr6Wk6qdR9NPyRBWDjW,CyhGN4KrPe1RCAJnfARGNQSwu8ZJJWhR24SNmyYV2CUx
36,0.04,1931.88,1112.24,7495.94,QmU9Hsg26Ghw6pABRPbFRcCSmC13KEAGah7GE5itzwcBZ8,2autFFyEHkGMqkM8pZqyZJHMnvvMaq3kY18Hh2DwDswo
37,0.03,1015.26,1307.71,4788.21,QmZeVCW2zMeB8nM6hXAjNFAKwXS3Eu2CdP2VMaUELwR7Y3,6kCbae6p1zGgh9MEzpyuNxU2dz6sY6mdtFtcn37Sdoqy
38,0.03,868.59,3232.09,5883.00,QmaboP7XF5fg8rX552Ud1131SLio5Ctq89ftqcfTuiUtmT,9vyUbhpL6YzTkfCyaRrXREetC8Q5Sx4dXWnAsR13UPSj
39,0.02,1228.31,1821.25,4840.34,QmUEGZHv3PZM2vGYcyNJyhcoZEHS4UU5nBrKSm9Ceiu7ED,DYudDiDLvqtH2JZdPaqPVjH84tJxD2CdWGpEH3TL5pr4
